date,VOL
20140828,17657643
20140829,21608625
20140902,22996775
20140903,33689341
20140904,26478210
20140905,36939360
20140908,45752772
20140909,40302386
20140910,27304859
20140911,29216560
20140912,38247122
20140915,37668051
20140916,27910571
20140917,38319224
20140918,35556632
20140919,202567850
20140922,38700591
20140923,33431078
20140924,26582713
20140925,33077385
20140926,27078764
20140929,26090980
20140930,33037774
20141001,38088355
20141002,25119508
20141003,32453273
20141006,20603960
20141007,25724544
20141008,33031072
20141009,34426595
20141010,51978454
20141013,37100207
20141014,38120758
20141015,60226781
20141016,49063704
20141017,40683346
20141020,34530887
20141021,36446324
20141022,33579817
20141023,45451903
20141024,61081039
20141027,30375145
20141028,29049828
20141029,30283622
20141030,30073873
20141031,35849656
20141103,23130397
20141104,21530913
20141105,22449883
20141106,33039091
20141107,28000598
20141110,36370067
20141111,23445239
